Year,Month,UOM,Crop,Value,Indicator
1987,11,CAD/tonne,"Canola, #1CR",224.82,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Flaxseed, #1CW",168.275,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Oats, #2CW",72.58,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Soymeal, 46%, Wpg",335.75,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",76.825,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Barley, #1CW",48.87,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Canola Meal, 34%, Altona",232.63,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Canola, #1CR",239.66,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Flaxseed, #1CW",172.914,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Oats, #2CW",79.808,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Soymeal, 46%, Wpg",347.1,Farmer's net cash return at Wpg elevator
1987,12,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",80.884,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Barley, #1CW",51,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Canola Meal, 34%, Altona",226.8425,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Canola, #1CR",260.345,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Flaxseed, #1CW",186.475,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Oats, #2CW",87.1125,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Soymeal, 46%, Wpg",316.25,Farmer's net cash return at Wpg elevator
1988,1,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",85.0875,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Barley, #1CW",52.625,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Canola Meal, 34%, Altona",192.94,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Canola, #1CR",267.62,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Flaxseed, #1CW",182.025,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Oats, #2CW",84.205,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Soymeal, 46%, Wpg",288.75,Farmer's net cash return at Wpg elevator
1988,2,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",83.61,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Barley, #1CW",51.99,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Canola Meal, 34%, Altona",199.552,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Canola, #1CR",256.24,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Flaxseed, #1CW",176.57,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Oats, #2CW",75.756,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Soymeal, 46%, Wpg",291.6,Farmer's net cash return at Wpg elevator
1988,3,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",83.172,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Barley, #1CW",53.7,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Canola Meal, 34%, Altona",194.87,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Canola, #1CR",269.945,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Flaxseed, #1CW",186.4,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Oats, #2CW",71.695,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Soymeal, 46%, Wpg",302,Farmer's net cash return at Wpg elevator
1988,4,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",84.805,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Barley, #1CW",63.275,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Canola Meal, 34%, Altona",211.9575,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Canola, #1CR",294.945,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Flaxseed, #1CW",202.85,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Oats, #2CW",74.6025,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Soymeal, 46%, Wpg",343,Farmer's net cash return at Wpg elevator
1988,5,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",97.5525,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Barley, #1CW",82.85,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Canola Meal, 34%, Altona",276.506,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Canola, #1CR",367.08,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Flaxseed, #1CW",268.99,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Oats, #2CW",109.196,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Soymeal, 46%, Wpg",439.4,Farmer's net cash return at Wpg elevator
1988,6,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",113.12,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Barley, #1CW",93.025,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Canola Meal, 34%, Altona",266.2575,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Canola, #1CR",349.045,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Flaxseed, #1CW",337.125,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Soymeal, 46%, Wpg",388,Farmer's net cash return at Wpg elevator
1988,7,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",118.205,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Barley, #1CW",99.22,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Canola Meal, 34%, Altona",259.012,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Canola, #1CR",343.65,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Corn, #2",118,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Flaxseed, #1CW",350.56,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Soymeal, 46%, Wpg",377.6,Farmer's net cash return at Wpg elevator
1988,8,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",123.78,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Barley, #1CW",104.22,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Canola Meal, 34%, Altona",242.5475,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Canola, #1CR",335.95,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Corn, #2",145.95,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Flaxseed, #1CW",399.155,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Soymeal, 46%, Wpg",395.75,Farmer's net cash return at Wpg elevator
1988,9,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",144.505,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Barley, #1CW",106.545,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Canola Meal, 34%, Altona",227.66375,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Canola, #1CR",308.6375,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Corn, #2",142.7375,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Flaxseed, #1CW",380.52,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Soymeal, 46%, Wpg",388.5,Farmer's net cash return at Wpg elevator
1988,10,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",146.3825,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Barley, #1CW",109.8,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Canola Meal, 34%, Altona",221.384,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Canola, #1CR",285.87,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Corn, #2",143.032,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Flaxseed, #1CW",343.26,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Soymeal, 46%, Wpg",370,Farmer's net cash return at Wpg elevator
1988,11,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",143.404,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Barley, #1CW",122.245,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Canola Meal, 34%, Altona",221.19,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Canola, #1CR",301.575,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Corn, #2",141.7,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Flaxseed, #1CW",364.3575,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Soymeal, 46%, Wpg",359.25,Farmer's net cash return at Wpg elevator
1988,12,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",148.1225,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Barley, #1CW",123.295,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Canola Meal, 34%, Altona",226.29,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Canola, #1CR",290.2675,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Corn, #2",140.6,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Flaxseed, #1CW",382.82,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Soymeal, 46%, Wpg",360.25,Farmer's net cash return at Wpg elevator
1989,1,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",148.6775,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Barley, #1CW",114.27,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Canola Meal, 34%, Altona",216.3675,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Canola, #1CR",283.2,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Corn, #2",139.72,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Flaxseed, #1CW",376.52,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Soymeal, 46%, Wpg",331.5,Farmer's net cash return at Wpg elevator
1989,2,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",138.56,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Barley, #1CW",115.92,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Canola Meal, 34%, Altona",212.784,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Canola, #1CR",296.962,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Corn, #2",136,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Flaxseed, #1CW",380.1,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Soymeal, 46%, Wpg",342.4,Farmer's net cash return at Wpg elevator
1989,3,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",142.424,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Barley, #1CW",102.595,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Canola Meal, 34%, Altona",198.58,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Canola, #1CR",288,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Corn, #2",141.85,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Flaxseed, #1CW",347.845,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Soymeal, 46%, Wpg",323.25,Farmer's net cash return at Wpg elevator
1989,4,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",136.6475,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Barley, #1CW",104.176,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Canola Meal, 34%, Altona",209.476,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Canola, #1CR",290.82,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Flaxseed, #1CW",322.722,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Soymeal, 46%, Wpg",315,Farmer's net cash return at Wpg elevator
1989,5,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",141.984,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Barley, #1CW",102.82,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Canola Meal, 34%, Altona",206.445,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Canola, #1CR",259.8425,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Flaxseed, #1CW",297.645,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Soymeal, 46%, Wpg",332.5,Farmer's net cash return at Wpg elevator
1989,6,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",136.9375,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Barley, #1CW",90.995,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Canola Meal, 34%, Altona",201.48,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Canola, #1CR",254.95,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Flaxseed, #1CW",300.92,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Soymeal, 46%, Wpg",335,Farmer's net cash return at Wpg elevator
1989,7,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",121.8275,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Barley, #1CW",84.61,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Canola Meal, 34%, Altona",178.826,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Canola, #1CR",234.78,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Flaxseed, #1CW",305.39,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Soymeal, 46%, Wpg",309.8,Farmer's net cash return at Wpg elevator
1989,8,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",122.392,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Barley, #1CW",84.17,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Canola Meal, 34%, Altona",184.1175,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Canola, #1CR",249.145,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Flaxseed, #1CW",337.82,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Soymeal, 46%, Wpg",309.25,Farmer's net cash return at Wpg elevator
1989,9,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",112.26,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Barley, #1CW",90.2025,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Canola Meal, 34%, Altona",186.1575,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Canola, #1CR",242.4475,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Flaxseed, #1CW",325.5525,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Soymeal, 46%, Wpg",277.5,Farmer's net cash return at Wpg elevator
1989,10,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",114.6975,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Barley, #1CW",90.15,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Canola Meal, 34%, Altona",181.032,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Canola, #1CR",255.532,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Flaxseed, #1CW",314.33,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Soymeal, 46%, Wpg",257.7,Farmer's net cash return at Wpg elevator
1989,11,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",116.208,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Barley, #1CW",93.295,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Canola Meal, 34%, Altona",169.7725,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Canola, #1CR",258.835,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Flaxseed, #1CW",316.77,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Soymeal, 46%, Wpg",251,Farmer's net cash return at Wpg elevator
1989,12,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",118.4925,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Barley, #1CW",92.03,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Canola Meal, 34%, Altona",162.29,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Canola, #1CR",258.9,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Flaxseed, #1CW",332.05,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Oats, #2CW",96.056,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Soymeal, 46%, Wpg",244,Farmer's net cash return at Wpg elevator
1990,1,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",124.538,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Barley, #1CW",88.77,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Canola Meal, 34%, Altona",153.245,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Canola, #1CR",264.66,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Flaxseed, #1CW",359.895,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Oats, #2CW",97.395,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Soymeal, 46%, Wpg",237,Farmer's net cash return at Wpg elevator
1990,2,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",125.505,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Barley, #1CW",89.87,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Canola Meal, 34%, Altona",161.5025,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Canola, #1CR",275.46,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Flaxseed, #1CW",385.52,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Oats, #2CW",87.445,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Soymeal, 46%, Wpg",235.5,Farmer's net cash return at Wpg elevator
1990,3,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",128.2025,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Barley, #1CW",87.845,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Canola Meal, 34%, Altona",156.555,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Canola, #1CR",281.31,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Flaxseed, #1CW",376.245,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Oats, #2CW",86.37,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Soymeal, 46%, Wpg",238,Farmer's net cash return at Wpg elevator
1990,4,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",130.78,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Barley, #1CW",92.19,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Canola Meal, 34%, Altona",173.422,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Canola, #1CR",281.1,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Flaxseed, #1CW",393.09,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Oats, #2CW",89.59,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Soymeal, 46%, Wpg",256.8,Farmer's net cash return at Wpg elevator
1990,5,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",130.072,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Barley, #1CW",93.07,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Canola Meal, 34%, Altona",167.1925,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Canola, #1CR",261.86,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Flaxseed, #1CW",341.7025,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Oats, #2CW",81.42,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Soymeal, 46%, Wpg",243.5,Farmer's net cash return at Wpg elevator
1990,6,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",125.3,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Barley, #1CW",79.0025,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Canola Meal, 34%, Altona",164.78,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Canola, #1CR",254.485,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Flaxseed, #1CW",306.2075,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Oats, #2CW",59.2275,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Soymeal, 46%, Wpg",245,Farmer's net cash return at Wpg elevator
1990,7,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",116.1275,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Barley, #1CW",72.57,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Canola Meal, 34%, Altona",163,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Canola, #1CR",249.72,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Flaxseed, #1CW",240.13,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Oats, #2CW",55.49,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Soymeal, 46%, Wpg",235.8,Farmer's net cash return at Wpg elevator
1990,8,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",94.27,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Barley, #1CW",60.57,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Canola Meal, 34%, Altona",167.5,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Canola, #1CR",237.5,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Flaxseed, #1CW",211.145,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Oats, #2CW",48.645,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Soymeal, 46%, Wpg",243.5,Farmer's net cash return at Wpg elevator
1990,9,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",84.295,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Barley, #1CW",62.31,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Canola Meal, 34%, Altona",165,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Canola, #1CR",234.98,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Flaxseed, #1CW",217.25,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Oats, #2CW",57.15,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Soymeal, 46%, Wpg",241.2,Farmer's net cash return at Wpg elevator
1990,10,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",84.67,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Barley, #1CW",66.77,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Canola Meal, 34%, Altona",166.3892046,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Canola, #1CR",232.175,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Flaxseed, #1CW",211.445,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Oats, #2CW",63.395,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Soymeal, 46%, Wpg",234.5,Farmer's net cash return at Wpg elevator
1990,11,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",83.045,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Barley, #1CW",67.8025,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Canola Meal, 34%, Altona",147.5,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Canola, #1CR",232.85,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Flaxseed, #1CW",204.97,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Oats, #2CW",58.1075,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Soymeal, 46%, Wpg",232.625,Farmer's net cash return at Wpg elevator
1990,12,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",80.0075,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Barley, #1CW",72.45,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Canola Meal, 34%, Altona",144,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Canola, #1CR",227.28,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Flaxseed, #1CW",193.27,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Oats, #2CW",61.51,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Soymeal, 46%, Wpg",219,Farmer's net cash return at Wpg elevator
1991,1,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",77.49,Farmer's net cash return at Wpg elevator
1991,2,CAD/tonne,"Barley, #1CW",70.32,Farmer's net cash return at Wpg elevator
